Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, CBP1",402,3,10uf 0402, 
"C10, C102",402,2,2.2uF 0402, 
"C11, C13, C14, C15, C16, C18, C5, C6, C7, C8",402,10,100nf 0402, 
"C19, C2",402,2,22pf 0402, 
C3,402,1,1uf 0402, 
C9,805,1,0.1uf,
D100,D_SOD-123,1,1N5817W, 
DLED1,402,1,LED,
F1,805,1,0805L050WR,
FB1,402,1,MFBM1V1005-000-R,
FLASH1,SON-8-1EP_3x2mm_P0.5mm_EP1.4x1.6mm,1,W25Q16JVUXIQ,
J2,SW_Push_SPST_NO_Alps_SKRK,1,Button, 
"R1, R11",402,2,1K 0402, 
R2,402,1,10K 0402,  
"R3, R4",402,2,27r 0402 resistor, 
"R5, R6",805,2,5.1K 0402, 
R7,402,1,100K 0402, 
R8,805,1,330r,
R9,402,1,62ohm 0402, 
RSW1,SW_Push_SPST_NO_Alps_SKRK,1,TSA343G00-250J2,
U1,SOT-23-5,1,SOT-23-5 5.5V 3.3V 500mA, 
U3,RP2040-QFN-56,1,RP2040, C2040
USB1,USB_C_TYPE-C-31-M-14,1,TYPE-C-31-M-14,C319148
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,3225_4P 12MHz, 
